#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS PTDY  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC  nmi  hPa    ft
2024 10 24 21 30 290  1.0  2.1    MM    MM    MM  MM 1012.4  18.1  18.5    MM   MM   MM    MM
2024 10 24 21 24 290  1.0  1.5    MM    MM    MM  MM 1012.3  18.5  18.5    MM   MM   MM    MM
2024 10 24 21 18 290  1.0  1.5    MM    MM    MM  MM 1012.4    MM  18.5    MM   MM   MM    MM
2024 10 24 21 12 280  1.0  1.5    MM    MM    MM  MM 1012.5    MM  18.4    MM   MM   MM    MM
2024 10 24 21 06 290  1.0  1.5    MM    MM    MM  MM 1012.6    MM  18.4    MM   MM   MM    MM
2024 10 24 21 00 290  1.0  1.5    MM    MM    MM  MM 1012.6    MM  18.5    MM   MM -1.9    MM
2024 10 24 20 54 290  1.0  1.5    MM    MM    MM  MM 1012.7    MM  18.5    MM   MM   MM    MM
2024 10 24 20 48 290  1.5  1.5    MM    MM    MM  MM 1012.8  18.4  18.4    MM   MM   MM    MM
2024 10 24 20 42 290  1.0  1.5    MM    MM    MM  MM 1012.9  18.3  18.4    MM   MM   MM    MM
2024 10 24 20 36 290  1.0  2.1    MM    MM    MM  MM 1013.0  17.7  18.4    MM   MM   MM    MM
2024 10 24 20 30 290  1.5  2.1    MM    MM    MM  MM 1013.2  17.1  18.5    MM   MM   MM    MM
2024 10 24 20 24 280  2.1  2.6    MM    MM    MM  MM 1013.3  16.6  18.4    MM   MM   MM    MM
2024 10 24 20 18 270  2.1  3.1    MM    MM    MM  MM 1013.5    MM    MM    MM   MM   MM    MM
2024 10 24 20 12 270  2.6  2.6    MM    MM    MM  MM 1013.5    MM    MM    MM   MM   MM    MM
2024 10 24 20 06 260  2.6  3.1    MM    MM    MM  MM 1013.6    MM    MM    MM   MM   MM    MM
2024 10 24 20 00 270  2.6  3.1    MM    MM    MM  MM 1013.7  16.5  18.3    MM   MM -0.9    MM
2024 10 24 19 54 250  2.6  3.6    MM    MM    MM  MM 1013.7  16.5  18.3    MM   MM   MM    MM
2024 10 24 19 48 250  2.6  3.1    MM    MM    MM  MM 1013.8  16.7  18.3    MM   MM   MM    MM
